METHOD,LR,VALUE
momentum,0.0422222222222,0.226269
momentum,0.0422222222222,0.224547
momentum,0.0422222222222,0.224361
momentum,0.0422222222222,0.224316
momentum,0.0422222222222,0.224304
momentum,0.0422222222222,0.2243
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0744444444444,0.224908
momentum,0.0744444444444,0.224351
momentum,0.0744444444444,0.224307
momentum,0.0744444444444,0.2243
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
momentum,0.0744444444444,0.224299
